name,rockspec,ref,server,version,luaversion,maintainers
cmark,,,,,,arobyn
copas,,,,,,arobyn
etlua,,,,,,arobyn
jsonschema,,,,,,arobyn
inotify,,,,,,arobyn
lcmark,,,,,,arobyn
loadkit,,,,,,arobyn
lrexlib-pcre,,,,,,arobyn
lua-ev,,,,,,arobyn
lua-filesize,,,,,,arobyn
lua-testmore,,,,,,arobyn
luachild,,,,,,arobyn
lunix,,,,,,arobyn
lub,,,,,,arobyn
mobdebug,,,,,,arobyn
moonpick,,,,,,arobyn
moonscript,,,,,,arobyn
moor,,,,,,arobyn
net-url,,,,,,arobyn
optparse,,,,,,arobyn
pegdebug,,,,,,arobyn
spawn,,,,,,arobyn
yaml,,,https://luarocks.org/manifests/gaspard,,,arobyn
yuescript,,,,,,arobyn
