y;height;x;width;name;code;name_fn;code_fn
0;8;0;18;ESC;1;;
0;8;21,5;12;F1;59;MUTE;113
0;8;36;12;F2;60;VOLUMEDOWN;114
0;8;50,5;12;F3;61;VOLUMEUP;115
0;8;65;12;F4;62;RFKILL;247
0;8;80,5;12;F5;63;BRIGHTNESSDOWN;224
0;8;95;12;F6;64;BRIGHTNESSUP;225
0;8;109,5;12;F7;65;FIND;136
0;8;124;12;F8;66;CONFIG;171
0;8;140;12;F9;67;PREVIOUSSONG;165
0;8;154;12;F10;68;PLAYPAUSE;164
0;8;168,5;12;F11;87;NEXTSONG;163
0;8;183;12;F12;88;SYSRQ;99
0;8;199;18;DELETE;111;;
0;25;233,5;8,5;BACKSPACE;14;;
11,5;13,7;0;10;ZENKAKUHANKAKU;85;;
11,5;13,7;13,5;14,5;1;2;;
11,5;13,7;31,6;14,5;2;3;;
11,5;13,7;49,7;14,5;3;4;;
11,5;13,7;67,8;14,5;4;5;;
11,5;13,7;85,9;14,5;5;6;;
11,5;13,7;104;14,5;6;7;;
11,5;13,7;122,1;14,5;7;8;;
11,5;13,7;140,2;14,5;8;9;;
11,5;13,7;158,3;14,5;9;10;;
11,5;13,7;176,4;14,5;0;11;;
11,5;13,7;194,5;9,5;MINUS;12;;
11,5;13,7;207,6;9,5;EQUAL;13;;
11,5;13,7;220,5;9,5;YEN;124;;
29;13,7;0;14,5;TAB;15;;
29;13,7;17,8;14,5;Q;16;;
29;13,7;35,92;14,5;W;17;;
29;13,7;54,04;14,5;E;18;;
29;13,7;72,16;14,5;R;19;;
29;13,7;90,28;14,5;T;20;;
29;13,7;108,4;14,5;Y;21;;
29;13,7;126,52;14,5;U;22;;
29;13,7;144,64;14,5;I;23;;
29;13,7;162,76;14,5;O;24;;
29;13,7;180,88;14,5;P;25;;
29;13,7;199;11,5;LEFTBRACE;26;;
29;13,7;214,7;11,5;RIGHTBRACE;27;;
29;13,7;226,6;15,4;ENTER;28;;
46,5;13,7;0;19;CAPSLOCK;58;;
46,5;13,7;22,5;14,5;A;30;;
46,5;13,7;40,62;14,5;S;31;;
46,5;13,7;58,74;14,5;D;32;;
46,5;13,7;76,86;14,5;F;33;;
46,5;13,7;94,98;14,5;G;34;;
46,5;13,7;113,1;14,5;H;35;;
46,5;13,7;131,22;14,5;J;36;;
46,5;13,7;149,34;14,5;K;37;;
46,5;13,7;167,46;14,5;L;38;;
46,5;13,7;185,58;14,5;SEMICOLON;39;;
46,5;13,7;203,7;11;APOSTROPHE;40;;
46,5;13,7;217,5;11;BACKSLASH;43;;
42,7;13,7;231,5;10,5;ENTER;28;;
64;13,7;0;28;LEFTSHIFT;42;;
64;13,7;31,7;14,5;Z;44;;
64;13,7;49,8;14,5;X;45;;
64;13,7;67,9;14,5;C;46;;
64;13,7;86;14,5;V;47;;
64;13,7;104,1;14,5;B;48;;
64;13,7;122,2;14,5;N;49;;
64;13,7;140,3;14,5;M;50;;
64;13,7;158,4;14,5;COMMA;51;;
64;13,7;176,5;14,5;DOT;52;;
64;13,7;194,6;14,5;SLASH;53;;
64;13,7;212,7;14,5;RO;89;;
64;13,7;230,7;11,3;RIGHTSHIFT;54;;
81,5;13,7;0;14,5;FN;464;;
81,5;13,7;18;14,5;LEFTCTRL;29;;
81,5;13,7;36;10;LEFTMETA;125;;
81,5;13,7;49,6;14,5;LEFTALT;56;;
81,5;13,7;67,7;14,5;MUHENKAN;94;;
81,5;13,7;85,8;50,9;SPACE;57;;
81,5;13,7;140,3;10;HENKAN;92;;
81,5;13,7;153,9;10;KATAKANAHIRAGANA;93;;
81,5;13,7;167,5;10;RIGHTALT;100;;
81,5;13,7;181,1;10;RIGHTCTRL;97;;
81,5;9,5;194,6;13;PAGEUP;104;;
81,5;9,5;211,3;13,5;UP;103;;
81,5;9,5;228,3;13;PAGEDOWN;109;;
92,7;9,5;194,6;13;LEFT;105;HOME;102
92,7;9,5;211,3;13,5;DOWN;108;;
92,7;9,5;228,3;13;RIGHT;106;END;107
98,5;34,5;145;10;BTN_RIGHT;273;;
98,5;34,5;68;10;BTN_LEFT;272;;
